,arg1,arg2,verb,sentence,verb_idx,label,new_sentences,new_ind
0,knowledge,,absorb, He absorbed the knowledge or beliefs of his tribe .,1,1,knowledge desireswisdomknowledge is capable ofbe destructiveknowledge has propertyimportantknowledge is at locationschoolknowledge is used forlearnknowledge is made offactabsorb desiresbe touchabsorb is capable ofbe goodabsorb has propertygoodabsorb is at locationjarabsorb is used formake something,300
1,cost,,absorb, He absorbed the costs for the accident .,1,1,cost desiresgood servicecost is capable ofbuy happinesscost has propertybadcost is at locationbankcost is used forbuy thingcost is made ofmoneyabsorb desiresbe touchabsorb is capable ofbe goodabsorb has propertygoodabsorb is at locationjarabsorb is used formake something,272
2,tax,,absorb, The sales tax is absorbed into the state income tax .,4,1,tax desiresincreasetax is capable ofcover crimetax has propertybadtax is at locationbanktax is used forpay taxtax is made ofmoneyabsorb desiresbe touchabsorb is capable ofbe goodabsorb has propertygoodabsorb is at locationjarabsorb is used formake something,261
3,immigrant,,absorb, The immigrants were quickly absorbed into society .,4,1,immigrant desiresequalityimmigrant is capable ofvoteimmigrant has propertyethnicimmigrant is at locationcityimmigrant is used forworkimmigrant is made ofethnic groupabsorb desiresbe touchabsorb is capable ofbe goodabsorb has propertygoodabsorb is at locationjarabsorb is used formake something,297
4,interest,,absorb, Her interest in butterflies absorbs her completely .,4,1,interest desiresplay gameinterest is capable ofbe useinterest has propertyinterestinterest is at locationschoolinterest is used forentertainmentinterest is made ofideaabsorb desiresbe touchabsorb is capable ofbe goodabsorb has propertygoodabsorb is at locationjarabsorb is used formake something,299
5,workers,,abuse, This boss abuses his workers .,2,0,workers desiresworkworkers is capable ofworkworkers has propertylazyworkers is at locationworkworkers is used forworkworkers is made ofmetalabuse desiresbe freeabuse is capable ofanger personabuse has propertybadabuse is at locationjailabuse is used forget what you want,272
6,system,,abuse, Do n't abuse the system .,2,1,system desiresbe freesystem is capable ofbe breaksystem has propertycomplexsystem is at locationcomputersystem is used forcontrolsystem is made ofgroupabuse desiresbe freeabuse is capable ofanger personabuse has propertybadabuse is at locationjailabuse is used forget what you want,283
7,policeman,,abuse, The actress abused the policeman who gave her a parking ticket .,2,0,policeman desirescatch criminalpoliceman is capable ofstop trafficpoliceman has propertydangerouspoliceman is at locationroadblockpoliceman is used forenforce lawpoliceman is made ofpolice forceabuse desiresbe freeabuse is capable ofanger personabuse has propertybadabuse is at locationjailabuse is used forget what you want,326
8,alcohol,,abuse, Her husband often abuses alcohol .,3,1,alcohol desiresalcoholalcohol is capable ofcloud your mindalcohol has propertybad for youalcohol is at locationbaralcohol is used fordrinkalcohol is made ofalcoholabuse desiresbe freeabuse is capable ofanger personabuse has propertybadabuse is at locationjailabuse is used forget what you want,296
9,guest,,accommodate, This hotel can accommodate 250 guests .,3,0,guest desiresbe entertainguest is capable ofwelcome guestguest has propertyentertainguest is at locationhotelguest is used forrelaxationguest is made ofpersonaccommodate desiresbe satisfyaccommodate is capable ofbe many different coloraccommodate has propertygoodaccommodate is at locationchurchaccommodate is used foraccommodate person,339
10,result,,accommodate, The scientists had to accommodate the new results with the existing theories .,4,1,result desireswinresult is capable ofbe measure in scaleresult has propertybadresult is at locationmathresult is used formake somethingresult is made ofnumberaccommodate desiresbe satisfyaccommodate is capable ofbe many different coloraccommodate has propertygoodaccommodate is at locationchurchaccommodate is used foraccommodate person,340
11,submission,,acknowledge, The program committee acknowledged the submission of the authors of the paper .,3,0,submission desiresbe freesubmission is capable ofbe turn into manipulationsubmission has propertygoodsubmission is at locationofficesubmission is used forget what you wantsubmission is made ofsexual pleasureacknowledge desiresbe goodacknowledge is capable ofbe falseacknowledge has propertyimportantacknowledge is at locationchurchacknowledge is used formake friend,368
12,colleague,,acknowledge, He never acknowledges his colleagues when they run into him in the hallway .,2,0,colleague desiresget paycolleague is capable ofwork with patientcolleague has propertyhelpfulcolleague is at locationofficecolleague is used forhelpcolleague is made ofpersonacknowledge desiresbe goodacknowledge is capable ofbe falseacknowledge has propertyimportantacknowledge is at locationchurchacknowledge is used formake friend,334
13,kindness,,acknowledge, We must acknowledge the kindness she showed towards us .,2,0,kindness desiresbe kindkindness is capable ofmake person feel goodkindness has propertygoodkindness is at locationfriendkindness is used formake person feel goodkindness is made ofcompassionacknowledge desiresbe goodacknowledge is capable ofbe falseacknowledge has propertyimportantacknowledge is at locationchurchacknowledge is used formake friend,350
14,deed,,acknowledge, acknowledge the deed .,0,0,deed desiresbe freedeed is capable ofbe stealdeed has propertyimportantdeed is at locationbankdeed is used formake moneydeed is made ofpaperacknowledge desiresbe goodacknowledge is capable ofbe falseacknowledge has propertyimportantacknowledge is at locationchurchacknowledge is used formake friend,298
15,prince,,acknowledge, The Crown Prince was acknowledged as the true heir to the throne .,4,0,prince desiresbe kingprince is capable ofbe kingprince has propertymaleprince is at locationcastleprince is used forplay chessprince is made offleshacknowledge desiresbe goodacknowledge is capable ofbe falseacknowledge has propertyimportantacknowledge is at locationchurchacknowledge is used formake friend,310
16,resident,,adhere, The residents of this village adhered to Catholicism .,5,1,resident desiresbe goodresident is capable oflive in apartmentresident has propertylazyresident is at locationapartmentresident is used forlive inresident is made ofpersonadhere desiresclean airadhere is capable ofprotect your skinadhere has propertyflammableadhere is at locationofficeadhere is used forkeep thing clean,325
17,wallpaper,,adhere, Will this wallpaper adhere to the wall ?,3,0,wallpaper desirescoverwallpaper is capable ofbe different colorwallpaper has propertywhitewallpaper is at locationwallwallpaper is used fordecorate roomwallpaper is made ofpaperadhere desiresclean airadhere is capable ofprotect your skinadhere has propertyflammableadhere is at locationofficeadhere is used forkeep thing clean,329
18,steering,,answer, The steering of my new car answers to the slightest touch .,6,1,steering desireswin racesteering is capable ofmove carsteering has propertyhardsteering is at locationcarsteering is used forsteer carsteering is made ofplasticanswer desiresansweranswer is capable ofbe lieanswer has propertyimportantanswer is at locationnewspaperanswer is used forget information,303
19,telephone,,answer, answer the telephone .,0,0,telephone desiresbe writetelephone is capable ofringtelephone has propertyoldtelephone is at locationin officetelephone is used forcall someonetelephone is made ofplasticanswer desiresansweranswer is capable ofbe lieanswer has propertyimportantanswer is at locationnewspaperanswer is used forget information,307
20,question,,answer, The question concerning the meaning of life can not be answered .,10,0,question desiresanswerquestion is capable ofbe questionquestion has propertyimportantquestion is at locationnewspaperquestion is used forfind truthquestion is made offactanswer desiresansweranswer is capable ofbe lieanswer has propertyimportantanswer is at locationnewspaperanswer is used forget information,317
21,defendant,,answer, The defendant answered to all the charges of the prosecution .,2,0,defendant desiresjusticedefendant is capable ofpresent evidencedefendant has propertyguilty of crimedefendant is at locationcourtroomdefendant is used forprosecute crimedefendant is made oflawyeranswer desiresansweranswer is capable ofbe lieanswer has propertyimportantanswer is at locationnewspaperanswer is used forget information,334
22,mountain,,ascend, We ascended the mountain .,1,0,mountain desiresclimb mountainmountain is capable ofbe very tall buildmountain has propertyvery tallmountain is at locationmountainmountain is used forclimbmountain is made ofrockascend desiresflyascend is capable ofbe dangerousascend has propertyscaryascend is at locationelevatorascend is used forgo up,305
23,inheritance,,ascend, Inheritance may not ascend linearly .,3,1,inheritance desiresmoneyinheritance is capable ofbuy houseinheritance has propertyimportantinheritance is at locationbankinheritance is used forkeep person aliveinheritance is made ofmoneyascend desiresflyascend is capable ofbe dangerousascend has propertyscaryascend is at locationelevatorascend is used forgo up,316
24,path,,ascend, The path ascended to the top of the hill .,2,0,path desiresfollow pathpath is capable oflead to anotherpath has propertyuphillpath is at locationforestpath is used forgo somewherepath is made ofstoneascend desiresflyascend is capable ofbe dangerousascend has propertyscaryascend is at locationelevatorascend is used forgo up,279
25,poland,,attack," Hitler attacked Poland on September 1 , 1939 and started World War II .",1,0,poland desiresinvade polandpoland is capable ofinvade polandpoland has propertysouth of europepoland is at locationin europepoland is used forinvade polandpoland is made ofpolandattack desireswin warattack is capable ofcause injuryattack has propertybadattack is at locationwarattack is used forintimidate,306
26,speaker,,attack, The editors of the left - leaning paper attacked the new House Speaker .,8,1,speaker desiresbe hearspeaker is capable ofmake noisespeaker has propertyloudspeaker is at locationofficespeaker is used formake soundspeaker is made ofmetalattack desireswin warattack is capable ofcause injuryattack has propertybadattack is at locationwarattack is used forintimidate,292
27,village,,attack, The Serbs attacked the village at night .,2,0,village desiresplay gamevillage is capable ofbe very largevillage has propertyfunvillage is at locationcountryvillage is used forlive invillage is made ofpersonattack desireswin warattack is capable ofcause injuryattack has propertybadattack is at locationwarattack is used forintimidate,289
28,problem,,attack, I attacked the problem as soon as I got out of bed .,1,1,problem desiresbe freeproblem is capable ofmake person unhappyproblem has propertybadproblem is at locationofficeproblem is used forsolveproblem is made ofconsequenceattack desireswin warattack is capable ofcause injuryattack has propertybadattack is at locationwarattack is used forintimidate,294
29,cancer,,attack, The cancer cells are attacking his liver .,4,1,cancer desireslivecancer is capable ofspreadcancer has propertybadcancer is at locationhospitalcancer is used forkillcancer is made ofcellattack desireswin warattack is capable ofcause injuryattack has propertybadattack is at locationwarattack is used forintimidate,269
30,vienna,,besiege, The Turks besieged Vienna .,2,0,vienna desiresviennavienna is capable ofgermanyvienna has propertyfamous for it chocolatevienna is at locationaustriavienna is used forviennavienna is made ofaustriabesiege desireskill personbesiege is capable ofcause deathbesiege has propertybadbesiege is at locationwarbesiege is used forkill person,303
31,problem,,besiege, She was besieged by so many problems that she got discouraged .,2,1,problem desiresbe freeproblem is capable ofmake person unhappyproblem has propertybadproblem is at locationofficeproblem is used forsolveproblem is made ofconsequencebesiege desireskill personbesiege is capable ofcause deathbesiege has propertybadbesiege is at locationwarbesiege is used forkill person,304
32,press,,besiege, The press photographers besieged the movie star .,3,1,press desiresanswer to questionpress is capable ofbe presspress has propertyimportantpress is at locationtelevisionpress is used fortransmit informationpress is made ofpaperbesiege desireskill personbesiege is capable ofcause deathbesiege has propertybadbesiege is at locationwarbesiege is used forkill person,312
33,foot,,bind, The Chinese would bind the feet of their women .,3,0,foot desiresplayfoot is capable ofbe walk onfoot has propertylongfoot is at locationshoefoot is used forwalkfoot is made ofwoodbind desiresbindbind is capable ofbindbind has propertybindbind is at locationhospitalbind is used forbind,236
34,book,,bind, They bind their books in leather .,1,0,book desiresbe readbook is capable ofbe readbook has propertyheavybook is at locationlibrarybook is used forlearnbook is made ofpaperbind desiresbindbind is capable ofbindbind has propertybindbind is at locationhospitalbind is used forbind,240
35,oxygen,,bind, The hydrogen binds the oxygen .,2,1,oxygen desiresoxygenoxygen is capable ofincrease in frequencyoxygen has propertyessential to lifeoxygen is at locationairoxygen is used forlifeoxygen is made ofhydrogen and oxygenbind desiresbindbind is capable ofbindbind has propertybindbind is at locationhospitalbind is used forbind,287
36,meteor,,blaze, Meteors blazed across the atmosphere .,1,1,meteor desirestravelmeteor is capable oftravel in orbitmeteor has propertyvery largemeteor is at locationspacemeteor is used fortravel between solar systemmeteor is made ofrockblaze desiresburnblaze is capable ofburnblaze has propertydangerousblaze is at locationfireblaze is used forburn,289
37,pine,,blaze, The summer sun alone can cause a pine to blaze .,9,0,pine desireslightpine is capable offall from treepine has propertygreenpine is at locationforestpine is used formake campfirepine is made oftreeblaze desiresburnblaze is capable ofburnblaze has propertydangerousblaze is at locationfireblaze is used forburn,265
38,spaceship,,blaze, The spaceship blazed out into space .,2,1,spaceship desiresflyspaceship is capable oftravel in spacespaceship has propertyfastspaceship is at locationspacespaceship is used fortravelspaceship is made ofmetalblaze desiresburnblaze is capable ofburnblaze has propertydangerousblaze is at locationfireblaze is used forburn,279
39,foot,,blister, Her feet blistered during the long hike .,2,0,foot desiresplayfoot is capable ofbe walk onfoot has propertylongfoot is at locationshoefoot is used forwalkfoot is made ofwoodblister desiresburnblister is capable ofburnblister has propertyyellowblister is at locationfingerblister is used forburn,250
40,administration,,blister, The Senator blistered the administration in his speech on Friday .,2,1,administration desiresgood fiscal recordadministration is capable ofbe overpriceadministration has propertyimportantadministration is at locationschooladministration is used fororganize informationadministration is made ofpersonblister desiresburnblister is capable ofburnblister has propertyyellowblister is at locationfingerblister is used forburn,351
41,haze,,blur, The haze blurs the hills .,2,0,haze desireslighthaze is capable ofrainhaze has propertycoolhaze is at locationthunderstormhaze is used forclear visionhaze is made oflightblur desiresplayblur is capable ofblurblur has propertyblurryblur is at locationmovieblur is used forcorrect mistake,257
42,vision,,blur, The fog blurs my vision .,2,0,vision desiresbe changevision is capable ofbe deceivevision has propertyvery importantvision is at locationbookvision is used forseevision is made ofsoundblur desiresplayblur is capable ofblurblur has propertyblurryblur is at locationmovieblur is used forcorrect mistake,272
43,distinction,,blur, The distinction between the two theories blurred .,6,1,distinction desiresgood lifedistinction is capable ofimply factdistinction has propertybaddistinction is at locationchurchdistinction is used formake person feel gooddistinction is made offactblur desiresplayblur is capable ofblurblur has propertyblurryblur is at locationmovieblur is used forcorrect mistake,314
44,listener,,bolt, The listeners bolted when he discussed his strange ideas .,2,1,listener desiresunderstandlistener is capable ofunderstandlistener has propertyimportantlistener is at locationconferencelistener is used forlistenlistener is made oflistenerbolt desiresbe cleanbolt is capable ofopen boltbolt has propertyhardbolt is at locationgaragebolt is used forfasten thing together,306
45,food,,bolt, Do n't bolt your food !,2,1,food desiresfoodfood is capable ofbe remakefood has propertygoodfood is at locationpantryfood is used fornutritionfood is made ofgrainbolt desiresbe cleanbolt is capable ofopen boltbolt has propertyhardbolt is at locationgaragebolt is used forfasten thing together,266
46,economy,,boost, The tax cut will boost the economy .,4,1,economy desiresgood economyeconomy is capable ofincreaseeconomy has propertybadeconomy is at locationcityeconomy is used forbuy thingeconomy is made ofprofitboost desireswinboost is capable oflift weightboost has propertyimportantboost is at locationbridgeboost is used forlift something,291
47,voltage,,boost, Boost the voltage in an electrical circuit .,0,0,voltage desiresfuelvoltage is capable ofkillvoltage has propertydangerousvoltage is at locationelectrical circuitvoltage is used forelectricityvoltage is made ofelectronboost desireswinboost is capable oflift weightboost has propertyimportantboost is at locationbridgeboost is used forlift something,299
48,singer,,boost, The singer had to be boosted onto the stage by a special contraption .,5,0,singer desiressingsinger is capable ofsing ariasinger has propertysingsinger is at locationoperasinger is used forsingsinger is made ofpersonboost desireswinboost is capable oflift weightboost has propertyimportantboost is at locationbridgeboost is used forlift something,276
49,ball,,bounce, The rubber ball bounced .,3,0,ball desiresflyball is capable ofrollball has propertyroundball is at locationtoy storeball is used forplay basketballball is made ofrubberbounce desireswinbounce is capable ofhurt your kneebounce has propertyfunbounce is at locationparkbounce is used forexercise,266
50,people,,bounce, The ex - boxer 's job is to bounce people who want to enter this private club .,8,1,people desiresbe freepeople is capable ofeatpeople has propertyselfishpeople is at locationbus stoppeople is used forworkpeople is made ofpersonbounce desireswinbounce is capable ofhurt your kneebounce has propertyfunbounce is at locationparkbounce is used forexercise,276
51,government,,bow, The government bowed to the military pressure .,2,1,government desiresgood governmentgovernment is capable ofbe corruptgovernment has propertycorruptgovernment is at locationdemocracygovernment is used forcontrolgovernment is made ofgovernmentbow desiresbe giftbow is capable ofbe bowbow has propertydecorativebow is at locationboatbow is used fortie bow,304
52,life,,breathe, He breathed new life into the old house .,1,1,life desireslivelife is capable ofbe good thinglife has propertyfragilelife is at locationearthlife is used forlivelife is made oflifebreathe desireslivebreathe is capable ofhelp you livebreathe has propertyimportant to lifebreathe is at locationhospitalbreathe is used forlive,278
53,fabric,,breathe, Our new synthetic fabric breathes and is perfect for summer wear .,4,1,fabric desiresbe cleanfabric is capable ofbe fabricfabric has propertyweavefabric is at locationsew roomfabric is used formake curtainfabric is made offabricbreathe desireslivebreathe is capable ofhelp you livebreathe has propertyimportant to lifebreathe is at locationhospitalbreathe is used forlive,304
54,hair,,brush, Johnson brushed the hairs from his jacket .,1,0,hair desiresbe combhair is capable ofbe cuthair has propertycurlyhair is at locationyour headhair is used forwashhair is made ofwaterbrush desiresbrush toothbrush is capable ofremove dirtbrush has propertymessybrush is at locationbathroombrush is used forclean your hair,271
55,wall,,brush, He brushed the wall lightly .,1,0,wall desiresbe openwall is capable ofseparate roomwall has propertyverticalwall is at locationwallwall is used fordivide roomwall is made ofconcretebrush desiresbrush toothbrush is capable ofremove dirtbrush has propertymessybrush is at locationbathroombrush is used forclean your hair,286
56,suit,,brush, She brushed the suit before hanging it back into the closet .,1,0,suit desireswinsuit is capable offit personsuit has propertyexpensivesuit is at locationsuitcasesuit is used forprotect your bodysuit is made ofleatherbrush desiresbrush toothbrush is capable ofremove dirtbrush has propertymessybrush is at locationbathroombrush is used forclean your hair,289
57,suspense,,build, Suspense was building right from the beginning of the opera .,2,1,suspense desiresreceive answersuspense is capable ofmake person nervoussuspense has propertyexcitesuspense is at locationtheatresuspense is used formake person nervoussuspense is made ofemotionbuild desiresbuildbuild is capable offall downbuild has propertytallbuild is at locationbuildbuild is used forshelter,312
58,school,,build, The government is building new schools in this state .,3,0,school desiresstudent to studyschool is capable ofbe bad placeschool has propertyfunschool is at locationtownschool is used forteachschool is made ofroombuild desiresbuildbuild is capable offall downbuild has propertytallbuild is at locationbuildbuild is used forshelter,273
59,nation,,build, build a modern nation .,0,1,nation desiresfreedomnation is capable offight warnation has propertycorruptnation is at locationworldnation is used forgovernnation is made ofpersonbuild desiresbuildbuild is capable offall downbuild has propertytallbuild is at locationbuildbuild is used forshelter,266
60,architect,,build, These architects build in interesting and new styles .,2,0,architect desiresbuild skyscraperarchitect is capable ofdesign buildarchitect has propertyoldarchitect is at locationbuildarchitect is used forbuildarchitect is made ofstonebuild desiresbuildbuild is capable offall downbuild has propertytallbuild is at locationbuildbuild is used forshelter,292
61,defense,,build, build a defense on nothing but the accused person 's reputation .,0,1,defense desireswindefense is capable ofbe counterdefense has propertyimportantdefense is at locationschooldefense is used forprotect someonedefense is made ofpersonbuild desiresbuildbuild is capable offall downbuild has propertytallbuild is at locationbuildbuild is used forshelter,281
62,sum,,buy, This sum will buy you a ride on the train .,3,0,sum desiresmore moneysum is capable ofadd up to sumsum has propertypluralsum is at locationsumsum is used forsumsum is made ofpaperbuy desiresbuy thingbuy is capable ofcost moneybuy has propertygoodbuy is at locationsupermarketbuy is used forbuy thing,254
63,love,,buy, She wanted to buy his love with her dedication to him and his work .,3,0,love desiresbe lovelove is capable ofhurtlove has propertygoodlove is at locationfamilylove is used forgivelove is made oflovebuy desiresbuy thingbuy is capable ofcost moneybuy has propertygoodbuy is at locationsupermarketbuy is used forbuy thing,249
64,story,,buy, I ca n't buy this story .,3,1,story desiresbe readstory is capable ofbe readstory has propertyinaccuratestory is at locationnewspaperstory is used forentertainmentstory is made offactbuy desiresbuy thingbuy is capable ofcost moneybuy has propertygoodbuy is at locationsupermarketbuy is used forbuy thing,276
65,bee,,buzz, bees were buzzing around the hive .,2,0,bee desiresflowerbee is capable offlybee has propertysmallbee is at locationflowerbee is used forflybee is made ofbeebuzz desiresplay gamebuzz is capable ofhurtbuzz has propertyloudbuzz is at locationstadiumbuzz is used forfun,228
66,plane,,buzz, Planes buzzed the crowds in the square .,1,0,plane desiresflyplane is capable oflandplane has propertyflyplane is at locationairportplane is used forflyplane is made ofsteelbuzz desiresplay gamebuzz is capable ofhurtbuzz has propertyloudbuzz is at locationstadiumbuzz is used forfun,238
67,office,,buzz, This office is buzzing with activity .,3,1,office desiresbe revampedoffice is capable ofclutteroffice has propertyclutteroffice is at locationoffice buildoffice is used forworkoffice is made ofwoodbuzz desiresplay gamebuzz is capable ofhurtbuzz has propertyloudbuzz is at locationstadiumbuzz is used forfun,266
68,servant,,buzz, he buzzed the servant .,1,1,servant desiresmoneyservant is capable ofserve masterservant has propertycourteousservant is at locationmansionservant is used forserveservant is made ofservantbuzz desiresplay gamebuzz is capable ofhurtbuzz has propertyloudbuzz is at locationstadiumbuzz is used forfun,270
69,essence,,capture, capture the essence of Spring   .,0,1,essence desiresdrinkessence is capable ofbe goodessence has propertyimportantessence is at locationwateressence is used formake somethingessence is made ofmoleculecapture desiresget moneycapture is capable ofbe dangerous occupationcapture has propertybadcapture is at locationcircuscapture is used forpunish criminal,316
70,heart,,capture, She captured all the men 's hearts .,1,1,heart desiresbe loveheart is capable ofbeatheart has propertystrongheart is at locationpersonheart is used forloveheart is made ofcellcapture desiresget moneycapture is capable ofbe dangerous occupationcapture has propertybadcapture is at locationcircuscapture is used forpunish criminal,288
71,neutron,,capture, This nucleus has captured the slow - moving neutrons .,3,0,neutron desiresneutronneutron is capable ofbe neutronneutron has propertyvery smallneutron is at locationspaceneutron is used forneutralise energyneutron is made ofneutroncapture desiresget moneycapture is capable ofbe dangerous occupationcapture has propertybadcapture is at locationcircuscapture is used forpunish criminal,327
72,way,,claw, They clawed their way to the top of the mountain .,1,1,way desiresbe freeway is capable ofbe anythingway has propertymoveway is at locationuniverseway is used forget somethingway is made ofparticleclaw desireseatclaw is capable ofscratchclaw has propertysharpclaw is at locationyour armclaw is used forscratch,255
73,doorknob,,claw, She clawed the doorknob .,1,1,doorknob desiresunlockdoorknob is capable ofopen doordoorknob has propertyopendoorknob is at locationfront doordoorknob is used foropen doordoorknob is made ofwoodclaw desireseatclaw is capable ofscratchclaw has propertysharpclaw is at locationyour armclaw is used forscratch,276
74,rival,,claw, The politician clawed his rival .,2,1,rival desireswinrival is capable ofbe good friendrival has propertybadrival is at locationwarrival is used formake enemyrival is made ofpersonclaw desireseatclaw is capable ofscratchclaw has propertysharpclaw is at locationyour armclaw is used forscratch,256
75,hill,,climb, Did you ever climb up the hill behind your house ?,3,0,hill desiresclimb mountainhill is capable ofbe hillhill has propertyflathill is at locationcountrysidehill is used forclimbhill is made ofclayclimb desiresclimb mountainclimb is capable ofbe challengeclimb has propertydangerousclimb is at locationmountainclimb is used forget up mountain,290
76,sale,,climb, Sales were climbing after prices were lowered .,2,1,sale desiressellsale is capable ofsellsale has propertyexpensivesale is at locationshopsale is used forsell productsale is made ofstockclimb desiresclimb mountainclimb is capable ofbe challengeclimb has propertydangerousclimb is at locationmountainclimb is used forget up mountain,282
77,price,,climb, Sales were climbing after prices were lowered .,2,1,price desiresgood serviceprice is capable ofincrease your profitprice has propertybadprice is at locationbankprice is used forbuy thingprice is made ofdollarclimb desiresclimb mountainclimb is capable ofbe challengeclimb has propertydangerousclimb is at locationmountainclimb is used forget up mountain,304
78,path,,climb, The path climbed all the way to the top of the hill .,2,1,path desiresfollow pathpath is capable oflead to anotherpath has propertyuphillpath is at locationforestpath is used forgo somewherepath is made ofstoneclimb desiresclimb mountainclimb is capable ofbe challengeclimb has propertydangerousclimb is at locationmountainclimb is used forget up mountain,299
79,drain,,clog, The leaves clog our drains in the Fall .,2,0,drain desiresfill with waterdrain is capable ofbe draindrain has propertyslipperydrain is at locationdraindrain is used fordraindrain is made ofwaterclog desireswaterclog is capable ofdrainclog has propertywaterclog is at locationdrainclog is used fordrain,258
80,horse,,clog, horses were clogged until they were tamed .,2,1,horse desiresrunhorse is capable ofjump over obstaclehorse has propertybighorse is at locationkentucky derbyhorse is used forridehorse is made ofmuscleclog desireswaterclog is capable ofdrainclog has propertywaterclog is at locationdrainclog is used fordrain,260
81,market,,clog, The market is being clogged by these operations .,4,1,market desiresgood productmarket is capable ofsell productmarket has propertyvery popularmarket is at locationcitymarket is used forbuy thingmarket is made ofpersonclog desireswaterclog is capable ofdrainclog has propertywaterclog is at locationdrainclog is used fordrain,275
82,mind,,clog, Fear clogged her mind .,1,1,mind desiresbe freemind is capable ofbe dangerousmind has propertygoodmind is at locationyour headmind is used forthinkmind is made ofthoughtclog desireswaterclog is capable ofdrainclog has propertywaterclog is at locationdrainclog is used fordrain,249
83,smoke,,cloud, The smoke clouded above the houses .,2,0,smoke desiressmokesmoke is capable ofcause cancersmoke has propertybad for your healthsmoke is at locationfiresmoke is used forkill bacteriasmoke is made oftobaccocloud desiresbe extinguishcloud is capable ofrain watercloud has propertywhitecloud is at locationskycloud is used formake rain fall,297
84,face,,cloud, Their faces were clouded with sadness .,3,1,face desiresbe touchface is capable ofbe different colorface has propertyroundface is at locationfaceface is used forlook at thingface is made ofbonecloud desiresbe extinguishcloud is capable ofrain watercloud has propertywhitecloud is at locationskycloud is used formake rain fall,284
85,memory,,cloud, The stroke clouded memories of her youth .,2,1,memory desiresbe remembermemory is capable ofbe rewritememory has propertyimportantmemory is at locationcomputermemory is used forremembermemory is made ofmemorycloud desiresbe extinguishcloud is capable ofrain watercloud has propertywhitecloud is at locationskycloud is used formake rain fall,295
