,arg1,arg2,verb,sentence,verb_idx,label,new_sentences,new_ind
0,knowledge,,absorb, He absorbed the knowledge or beliefs of his tribe .,1,1,knowledge has propertyimportant knowledge is at locationschool knowledge is used forlearn absorb desires be touch. absorb is at location jar. absorb is used for make something.  He absorbed the knowledge or beliefs of his tribe .,37
1,cost,,absorb, He absorbed the costs for the accident .,1,1,cost has propertybad cost is at locationbank cost is used forbuy thing absorb desires be touch. absorb is at location jar. absorb is used for make something.  He absorbed the costs for the accident .,36
2,tax,,absorb, The sales tax is absorbed into the state income tax .,4,1,tax has propertybad tax is at locationbank tax is used forpay tax absorb desires be touch. absorb is at location jar. absorb is used for make something.  The sales tax is absorbed into the state income tax .,42
3,immigrant,,absorb, The immigrants were quickly absorbed into society .,4,1,immigrant has propertyethnic immigrant is at locationcity immigrant is used forwork absorb desires be touch. absorb is at location jar. absorb is used for make something.  The immigrants were quickly absorbed into society .,38
4,interest,,absorb, Her interest in butterflies absorbs her completely .,4,1,interest has propertyinterest interest is at locationschool interest is used forentertainment absorb desires be touch. absorb is at location jar. absorb is used for make something.  Her interest in butterflies absorbs her completely .,38
5,workers,,abuse, This boss abuses his workers .,2,0,workers has propertylazy workers is at locationwork workers is used forwork abuse desires be free. abuse is at location jail. abuse is used for get what you want.  This boss abuses his workers .,36
6,system,,abuse, Do n't abuse the system .,2,1,system has propertycomplex system is at locationcomputer system is used forcontrol abuse desires be free. abuse is at location jail. abuse is used for get what you want.  Do n't abuse the system .,36
7,policeman,,abuse, The actress abused the policeman who gave her a parking ticket .,2,0,policeman has propertydangerous policeman is at locationroadblock policeman is used forenforce law abuse desires be free. abuse is at location jail. abuse is used for get what you want.  The actress abused the policeman who gave her a parking ticket .,43
8,alcohol,,abuse, Her husband often abuses alcohol .,3,1,alcohol has propertybad for you alcohol is at locationbar alcohol is used fordrink abuse desires be free. abuse is at location jail. abuse is used for get what you want.  Her husband often abuses alcohol .,39
9,guest,,accommodate, This hotel can accommodate 250 guests .,3,0,guest has propertyentertain guest is at locationhotel guest is used forrelaxation accommodate desires be satisfy. accommodate is at location church. accommodate is used for accommodate person.  This hotel can accommodate 250 guests .,36
10,result,,accommodate, The scientists had to accommodate the new results with the existing theories .,4,1,result has propertybad result is at locationmath result is used formake something accommodate desires be satisfy. accommodate is at location church. accommodate is used for accommodate person.  The scientists had to accommodate the new results with the existing theories .,44
11,submission,,acknowledge, The program committee acknowledged the submission of the authors of the paper .,3,0,submission has propertygood submission is at locationoffice submission is used forget what you want acknowledge desires be good. acknowledge is at location church. acknowledge is used for make friend.  The program committee acknowledged the submission of the authors of the paper .,45
12,colleague,,acknowledge, He never acknowledges his colleagues when they run into him in the hallway .,2,0,colleague has propertyhelpful colleague is at locationoffice colleague is used forhelp acknowledge desires be good. acknowledge is at location church. acknowledge is used for make friend.  He never acknowledges his colleagues when they run into him in the hallway .,42
13,kindness,,acknowledge, We must acknowledge the kindness she showed towards us .,2,0,kindness has propertygood kindness is at locationfriend kindness is used formake person feel good acknowledge desires be good. acknowledge is at location church. acknowledge is used for make friend.  We must acknowledge the kindness she showed towards us .,41
14,deed,,acknowledge, acknowledge the deed .,0,0,deed has propertyimportant deed is at locationbank deed is used formake money acknowledge desires be good. acknowledge is at location church. acknowledge is used for make friend.  acknowledge the deed .,31
15,prince,,acknowledge, The Crown Prince was acknowledged as the true heir to the throne .,4,0,prince has propertymale prince is at locationcastle prince is used forplay chess acknowledge desires be good. acknowledge is at location church. acknowledge is used for make friend.  The Crown Prince was acknowledged as the true heir to the throne .,44
16,resident,,adhere, The residents of this village adhered to Catholicism .,5,1,resident has propertylazy resident is at locationapartment resident is used forlive in adhere desires clean air. adhere is at location office. adhere is used for keep thing clean.  The residents of this village adhered to Catholicism .,42
17,wallpaper,,adhere, Will this wallpaper adhere to the wall ?,3,0,wallpaper has propertywhite wallpaper is at locationwall wallpaper is used fordecorate room adhere desires clean air. adhere is at location office. adhere is used for keep thing clean.  Will this wallpaper adhere to the wall ?,39
18,steering,,answer, The steering of my new car answers to the slightest touch .,6,1,steering has propertyhard steering is at locationcar steering is used forsteer car answer desires answer. answer is at location newspaper. answer is used for get information.  The steering of my new car answers to the slightest touch .,44
19,telephone,,answer, answer the telephone .,0,0,telephone has propertyold telephone is at locationin office telephone is used forcall someone answer desires answer. answer is at location newspaper. answer is used for get information.  answer the telephone .,31
20,question,,answer, The question concerning the meaning of life can not be answered .,10,0,question has propertyimportant question is at locationnewspaper question is used forfind truth answer desires answer. answer is at location newspaper. answer is used for get information.  The question concerning the meaning of life can not be answered .,48
21,defendant,,answer, The defendant answered to all the charges of the prosecution .,2,0,defendant has propertyguilty of crime defendant is at locationcourtroom defendant is used forprosecute crime answer desires answer. answer is at location newspaper. answer is used for get information.  The defendant answered to all the charges of the prosecution .,41
22,mountain,,ascend, We ascended the mountain .,1,0,mountain has propertyvery tall mountain is at locationmountain mountain is used forclimb ascend desires fly. ascend is at location elevator. ascend is used for go up.  We ascended the mountain .,32
23,inheritance,,ascend, Inheritance may not ascend linearly .,3,1,inheritance has propertyimportant inheritance is at locationbank inheritance is used forkeep person alive ascend desires fly. ascend is at location elevator. ascend is used for go up.  Inheritance may not ascend linearly .,36
24,path,,ascend, The path ascended to the top of the hill .,2,0,path has propertyuphill path is at locationforest path is used forgo somewhere ascend desires fly. ascend is at location elevator. ascend is used for go up.  The path ascended to the top of the hill .,38
25,poland,,attack," Hitler attacked Poland on September 1 , 1939 and started World War II .",1,0,"poland has propertysouth of europe poland is at locationin europe poland is used forinvade poland attack desires win war. attack is at location war. attack is used for intimidate.  Hitler attacked Poland on September 1 , 1939 and started World War II .",44
26,speaker,,attack, The editors of the left - leaning paper attacked the new House Speaker .,8,1,speaker has propertyloud speaker is at locationoffice speaker is used formake sound attack desires win war. attack is at location war. attack is used for intimidate.  The editors of the left - leaning paper attacked the new House Speaker .,48
27,village,,attack, The Serbs attacked the village at night .,2,0,village has propertyfun village is at locationcountry village is used forlive in attack desires win war. attack is at location war. attack is used for intimidate.  The Serbs attacked the village at night .,36
28,problem,,attack, I attacked the problem as soon as I got out of bed .,1,1,problem has propertybad problem is at locationoffice problem is used forsolve attack desires win war. attack is at location war. attack is used for intimidate.  I attacked the problem as soon as I got out of bed .,39
29,cancer,,attack, The cancer cells are attacking his liver .,4,1,cancer has propertybad cancer is at locationhospital cancer is used forkill attack desires win war. attack is at location war. attack is used for intimidate.  The cancer cells are attacking his liver .,37
30,vienna,,besiege, The Turks besieged Vienna .,2,0,vienna has propertyfamous for it chocolate vienna is at locationaustria vienna is used forvienna besiege desires kill person. besiege is at location war. besiege is used for kill person.  The Turks besieged Vienna .,36
31,problem,,besiege, She was besieged by so many problems that she got discouraged .,2,1,problem has propertybad problem is at locationoffice problem is used forsolve besiege desires kill person. besiege is at location war. besiege is used for kill person.  She was besieged by so many problems that she got discouraged .,40
32,press,,besiege, The press photographers besieged the movie star .,3,1,press has propertyimportant press is at locationtelevision press is used fortransmit information besiege desires kill person. besiege is at location war. besiege is used for kill person.  The press photographers besieged the movie star .,38
