,arg1,arg2,verb,sentence,verb_idx,label,new_sentences,new_ind
0,knowledge,,absorb, He absorbed the knowledge or beliefs of his tribe .,1,1,knowledge has property important knowledge is at location school knowledge is used for learn absorb desires be touch. absorb is at location jar. absorb is used for make something.  He absorbed the knowledge or beliefs of his tribe .,40
1,cost,,absorb, He absorbed the costs for the accident .,1,1,cost has property bad cost is at location bank cost is used for buy thing absorb desires be touch. absorb is at location jar. absorb is used for make something.  He absorbed the costs for the accident .,39
2,tax,,absorb, The sales tax is absorbed into the state income tax .,4,1,tax has property bad tax is at location bank tax is used for pay tax absorb desires be touch. absorb is at location jar. absorb is used for make something.  The sales tax is absorbed into the state income tax .,45
3,immigrant,,absorb, The immigrants were quickly absorbed into society .,4,1,immigrant has property ethnic immigrant is at location city immigrant is used for work absorb desires be touch. absorb is at location jar. absorb is used for make something.  The immigrants were quickly absorbed into society .,41
4,interest,,absorb, Her interest in butterflies absorbs her completely .,4,1,interest has property interest interest is at location school interest is used for entertainment absorb desires be touch. absorb is at location jar. absorb is used for make something.  Her interest in butterflies absorbs her completely .,41
5,workers,,abuse, This boss abuses his workers .,2,0,workers has property lazy workers is at location work workers is used for work abuse desires be free. abuse is at location jail. abuse is used for get what you want.  This boss abuses his workers .,39
6,system,,abuse, Do n't abuse the system .,2,1,system has property complex system is at location computer system is used for control abuse desires be free. abuse is at location jail. abuse is used for get what you want.  Do n't abuse the system .,39
7,policeman,,abuse, The actress abused the policeman who gave her a parking ticket .,2,0,policeman has property dangerous policeman is at location roadblock policeman is used for enforce law abuse desires be free. abuse is at location jail. abuse is used for get what you want.  The actress abused the policeman who gave her a parking ticket .,46
8,alcohol,,abuse, Her husband often abuses alcohol .,3,1,alcohol has property bad for you alcohol is at location bar alcohol is used for drink abuse desires be free. abuse is at location jail. abuse is used for get what you want.  Her husband often abuses alcohol .,42
9,guest,,accommodate, This hotel can accommodate 250 guests .,3,0,guest has property entertain guest is at location hotel guest is used for relaxation accommodate desires be satisfy. accommodate is at location church. accommodate is used for accommodate person.  This hotel can accommodate 250 guests .,39
10,result,,accommodate, The scientists had to accommodate the new results with the existing theories .,4,1,result has property bad result is at location math result is used for make something accommodate desires be satisfy. accommodate is at location church. accommodate is used for accommodate person.  The scientists had to accommodate the new results with the existing theories .,47
11,submission,,acknowledge, The program committee acknowledged the submission of the authors of the paper .,3,0,submission has property good submission is at location office submission is used for get what you want acknowledge desires be good. acknowledge is at location church. acknowledge is used for make friend.  The program committee acknowledged the submission of the authors of the paper .,48
12,colleague,,acknowledge, He never acknowledges his colleagues when they run into him in the hallway .,2,0,colleague has property helpful colleague is at location office colleague is used for help acknowledge desires be good. acknowledge is at location church. acknowledge is used for make friend.  He never acknowledges his colleagues when they run into him in the hallway .,45
13,kindness,,acknowledge, We must acknowledge the kindness she showed towards us .,2,0,kindness has property good kindness is at location friend kindness is used for make person feel good acknowledge desires be good. acknowledge is at location church. acknowledge is used for make friend.  We must acknowledge the kindness she showed towards us .,44
